yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
Q9C000	Q9C000	NACHT, LRR and PYD domains-containing protein 1 (Caspase recruitment domain-containing protein 7) (Death effector filament-forming ced-4-like apoptosis protein) (Nucleotide-binding domain and caspase recruitment domain)
P51878	P51878	Caspase-5 (CASP-5) (EC 3.4.22.58) (ICE(rel)-III) (Protease ICH-3) (Protease TY) [Cleaved into: Caspase-5 subunit p20; Caspase-5 subunit p10]
Q53T94	Q53T94	TATA box-binding protein-associated factor RNA polymerase I subunit B (RNA polymerase I-specific TBP-associated factor 63 kDa) (TAFI63) (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B) (Transcription initiation factor SL1/TIF-IB subunit B)
Q15573	Q15573	TATA box-binding protein-associated factor RNA polymerase I subunit A (RNA polymerase I-specific TBP-associated factor 48 kDa) (TAFI48) (TATA box-binding protein-associated factor 1A) (TBP-associated factor 1A) (Transcription factor SL1) (Transcription initiation factor SL1/TIF-IB subunit A)
Q9NYV6	Q9NYV6	RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA)
O95931	O95931	Chromobox protein homolog 7
O94985	O94985	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]
P49840	P49840	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)
P06401	P06401	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)
P09629	P09629	Homeobox protein Hox-B7 (Homeobox protein HHO.C1) (Homeobox protein Hox-2C)
Q9BZE0	Q9BZE0	Zinc finger protein GLIS2 (GLI-similar 2) (Neuronal Krueppel-like protein)
P81274	P81274	G-protein-signaling modulator 2 (Mosaic protein LGN)
Q13887	Q13887	Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)
Q15438	Q15438	Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (SEC7 homolog B2-1)
P49715	P49715	CCAAT/enhancer-binding protein alpha (C/EBP alpha)
P63027	P63027	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)
Q7L9L4	Q7L9L4	MOB kinase activator 1B (Mob1 homolog 1A) (Mob1A) (Mob1B) (Mps one binder kinase activator-like 1A)
Q99062	Q99062	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)
Q9BXL7	Q9BXL7	Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1) (Carma 1)
Q9Y2Y9	Q9Y2Y9	Krueppel-like factor 13 (Basic transcription element-binding protein 3) (BTE-binding protein 3) (Novel Sp1-like zinc finger transcription factor 1) (RANTES factor of late activated T-lymphocytes 1) (RFLAT-1) (Transcription factor BTEB3) (Transcription factor NSLP1)
Q0VG06	Q0VG06	Fanconi anemia core complex-associated protein 100 (Fanconi anemia-associated protein of 100 kDa)
Q8NB91	Q8NB91	Fanconi anemia group B protein (Protein FACB) (Fanconi anemia-associated polypeptide of 95 kDa) (FAAP95)
Q8IW19	Q8IW19	Aprataxin and PNK-like factor (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease APLF) (PNK and APTX-like FHA domain-containing protein) (XRCC1-interacting protein 1)
Q13505	Q13505	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)
Q9UL03	Q9UL03	Integrator complex subunit 6 (Int6) (DBI-1) (Protein DDX26) (Protein deleted in cancer 1) (DICE1)
P49407	P49407	Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2)
P50148	P50148	Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q)
Q14676	Q14676	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)
Q6UWZ7	Q6UWZ7	BRCA1-A complex subunit Abraxas 1 (Coiled-coil domain-containing protein 98) (Protein FAM175A)
P17706	P17706	Tyrosine-protein phosphatase non-receptor type 2 (EC 3.1.3.48) (T-cell protein-tyrosine phosphatase) (TCPTP)
P43378	P43378	Tyrosine-protein phosphatase non-receptor type 9 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG2) (PTPase MEG2)
P17677	P17677	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46)
Q08722	Q08722	Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47)
Q32MZ4	Q32MZ4	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (GC-binding factor 2) (TAR RNA-interacting protein)
Q13045	Q13045	Protein flightless-1 homolog
Q15173	Q15173	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)
P02533	P02533	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)
P05166	P05166	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)
P46199	P46199	Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))
O60566	O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)
Q02224	Q02224	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)
Q9HAT0	Q9HAT0	Ropporin-1A (Cancer/testis antigen 91) (CT91) (Rhophilin-associated protein 1A)
P21583	P21583	Kit ligand (Mast cell growth factor) (MGF) (Stem cell factor) (SCF) (c-Kit ligand) [Cleaved into: Soluble KIT ligand (sKITLG)]
P62081	P62081	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)
Q96RI1	Q96RI1	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)
P04070	P04070	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]
P43358	P43358	Melanoma-associated antigen 4 (Cancer/testis antigen 1.4) (CT1.4) (MAGE-4 antigen) (MAGE-41 antigen) (MAGE-X2 antigen)
Q9BRQ0	Q9BRQ0	Pygopus homolog 2
Q9BZR8	Q9BZR8	Apoptosis facilitator Bcl-2-like protein 14 (Bcl2-L-14) (Apoptosis regulator Bcl-G)
O96000	O96000	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Complex I-PDSW) (CI-PDSW) (NADH-ubiquinone oxidoreductase PDSW subunit)
Q02535	Q02535	DNA-binding protein inhibitor ID-3 (Class B basic helix-loop-helix protein 25) (bHLHb25) (Helix-loop-helix protein HEIR-1) (ID-like protein inhibitor HLH 1R21) (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3)
P62736	P62736	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]
P08138	P08138	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271)
Q6R327	Q6R327	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)
P85299	P85299	Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1)
Q6MZQ0	Q6MZQ0	Proline-rich protein 5-like (Protein observed with Rictor-2) (Protor-2)
Q9BZE4	Q9BZE4	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)
Q9UQ07	Q9UQ07	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)
Q6MZP7	Q6MZP7	Protein lin-54 homolog (CXC domain-containing protein 1)
Q96GY3	Q96GY3	Protein lin-37 homolog (Antolefinin)
Q52LA3	Q52LA3	Protein lin-52 homolog
Q08999	Q08999	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (Retinoblastoma-related protein 2) (RBR-2) (pRb2)
P08473	P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)
Q9ULJ8	Q9ULJ8	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A)
Q9C0H9	Q9C0H9	SRC kinase signaling inhibitor 1 (SNAP-25-interacting protein) (SNIP) (p130Cas-associated protein) (p140Cap)
P21731	P21731	Thromboxane A2 receptor (TXA2-R) (Prostanoid TP receptor)
P08729	P08729	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)
P02741	P02741	C-reactive protein [Cleaved into: C-reactive protein(1-205)]
P32119	P32119	Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)
Q9UQM7	Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)
Q9BX63	Q9BX63	Fanconi anemia group J protein (Protein FACJ) (EC 3.6.4.13) (ATP-dependent RNA helicase BRIP1) (BRCA1-associated C-terminal helicase 1) (BRCA1-interacting protein C-terminal helicase 1) (BRCA1-interacting protein 1)
Q92636	Q92636	Protein FAN (Factor associated with neutral sphingomyelinase activation) (Factor associated with N-SMase activation)
P53674	P53674	Beta-crystallin B1 (Beta-B1 crystallin)
P26998	P26998	Beta-crystallin B3 (Beta-B3 crystallin) [Cleaved into: Beta-crystallin B3, N-terminally processed]
P53672	P53672	Beta-crystallin A2 (Beta-A2 crystallin)
P53673	P53673	Beta-crystallin A4 (Beta-A4 crystallin)
Q12834	Q12834	Cell division cycle protein 20 homolog (p55CDC)
Q9UM11	Q9UM11	Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1)
O14672	O14672	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)
Q96PM9	Q96PM9	Zinc finger protein 385A (Hematopoietic zinc finger protein) (Retinal zinc finger protein)
P01258	P01258	Calcitonin [Cleaved into: Calcitonin; Katacalcin (Calcitonin carboxyl-terminal peptide) (CCP) (PDN-21)]
P06746	P06746	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)
P53805	P53805	Calcipressin-1 (Adapt78) (Down syndrome critical region protein 1) (Myocyte-enriched calcineurin-interacting protein 1) (MCIP1) (Regulator of calcineurin 1)
Q7RTV0	Q7RTV0	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)
O43143	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)
O43290	O43290	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)
Q13242	Q13242	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)
Q92733	Q92733	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)
Q8IWZ8	Q8IWZ8	SURP and G-patch domain-containing protein 1 (RNA-binding protein RBP) (Splicing factor 4)
Q9BQ61	Q9BQ61	Telomerase RNA component interacting RNase (EC 3.1.13.-) (Exoribonuclease TRIR)
O43670	O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)
Q9NQW1	Q9NQW1	Protein transport protein Sec31B (SEC31-like protein 2) (SEC31-related protein B) (SEC31B-1)
Q9Y6A4	Q9Y6A4	Cilia- and flagella-associated protein 20 (Basal body up-regulated protein 22) (Transcription factor IIB)
Q9H2D6	Q9H2D6	TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin)
Q9BY41	Q9BY41	Histone deacetylase 8 (HD8) (EC 3.5.1.98)
P52630	P52630	Signal transducer and activator of transcription 2 (p113)
Q00978	Q00978	Interferon regulatory factor 9 (IRF-9) (IFN-alpha-responsive transcription factor subunit) (ISGF3 p48 subunit) (Interferon-stimulated gene factor 3 gamma) (ISGF-3 gamma) (Transcriptional regulator ISGF3 subunit gamma)
P57075	P57075	Ubiquitin-associated and SH3 domain-containing protein A (Cbl-interacting protein 4) (CLIP4) (Suppressor of T-cell receptor signaling 2) (STS-2) (T-cell ubiquitin ligand 1) (TULA-1)
O43933	O43933	Peroxisome biogenesis factor 1 (Peroxin-1) (Peroxisome biogenesis disorder protein 1)
Q12796	Q12796	Proline-rich nuclear receptor coactivator 1 (Proline-rich protein 2) (Protein B4-2)
Q71SY5	Q71SY5	Mediator of RNA polymerase II transcription subunit 25 (Activator interaction domain-containing protein 1) (Activator-recruited cofactor 92 kDa component) (ARC92) (Mediator complex subunit 25) (p78)
Q96T88	Q96T88	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)
Q9GZQ3	Q9GZQ3	COMM domain-containing protein 5 (Hypertension-related calcium-regulated gene protein) (HCaRG)
Q86VX2	Q86VX2	COMM domain-containing protein 7
Q9Y6G5	Q9Y6G5	COMM domain-containing protein 10
Q7Z4G1	Q7Z4G1	COMM domain-containing protein 6
Q00765	Q00765	Receptor expression-enhancing protein 5 (Polyposis locus protein 1) (Protein TB2)
Q9Y3V2	Q9Y3V2	RWD domain-containing protein 3 (RWD domain-containing sumoylation enhancer) (RSUME)
P22314	P22314	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)
Q7LG56	Q7LG56	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)
O15297	O15297	Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)
Q8WU17	Q8WU17	E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein)
Q53HL2	Q53HL2	Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein)
Q15485	Q15485	Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)
P15151	P15151	Poliovirus receptor (Nectin-like protein 5) (NECL-5) (CD antigen CD155)
Q8IW35	Q8IW35	Centrosomal protein of 97 kDa (Cep97) (Leucine-rich repeat and IQ domain-containing protein 2)
O43303	O43303	Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa) (CP110) (Cep110)
P15309	P15309	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]
Q9UPX8	Q9UPX8	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1)
Q9H1R2	Q9H1R2	Dual specificity protein phosphatase 15 (EC 3.1.3.16) (EC 3.1.3.48) (VH1-related member Y) (Vaccinia virus VH1-related dual-specific protein phosphatase Y)
P43699	P43699	Homeobox protein Nkx-2.1 (Homeobox protein NK-2 homolog A) (Thyroid nuclear factor 1) (Thyroid transcription factor 1) (TTF-1) (Thyroid-specific enhancer-binding protein) (T/EBP)
O94856	O94856	Neurofascin
Q9UK85	Q9UK85	Dickkopf-like protein 1 (Cancer/testis antigen 34) (CT34) (Protein soggy-1) (SGY-1)
P80404	P80404	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)
Q9BXM0	Q9BXM0	Periaxin
P17542	P17542	T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)
Q9UN72	Q9UN72	Protocadherin alpha-7 (PCDH-alpha-7)
Q9Y5I3	Q9Y5I3	Protocadherin alpha-1 (PCDH-alpha-1)
Q9UBM4	Q9UBM4	Opticin (Oculoglycan)
Q14296	Q14296	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)
O76081	O76081	Regulator of G-protein signaling 20 (RGS20) (Gz-selective GTPase-activating protein) (G(z)GAP) (Gz-GAP) (Regulator of G-protein signaling Z1) (Regulator of Gz-selective protein signaling 1)
Q9Y5H9	Q9Y5H9	Protocadherin alpha-2 (PCDH-alpha-2)
Q9Y5I2	Q9Y5I2	Protocadherin alpha-10 (PCDH-alpha-10)
Q9Y5I1	Q9Y5I1	Protocadherin alpha-11 (PCDH-alpha-11)
O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)
P26992	P26992	Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha)
P16383	P16383	GC-rich sequence DNA-binding factor 2 (GC-rich sequence DNA-binding factor) (Transcription factor 9) (TCF-9)
O75167	O75167	Phosphatase and actin regulator 2
O95157	O95157	Neurexophilin-3
Q9NQ76	Q9NQ76	Matrix extracellular phosphoglycoprotein (Osteoblast/osteocyte factor 45) (OF45) (Osteoregulin)
Q13087	Q13087	Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp)
Q14185	Q14185	Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180)
P10301	P10301	Ras-related protein R-Ras (p23)
P49802	P49802	Regulator of G-protein signaling 7 (RGS7)
O14490	O14490	Disks large-associated protein 1 (DAP-1) (Guanylate kinase-associated protein) (hGKAP) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1) (SAPAP1)
Q7Z408	Q7Z408	CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2)
Q9NPY3	Q9NPY3	Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR) (C1qR(p)) (C1qRp) (CDw93) (Complement component 1 q subcomponent receptor 1) (Matrix-remodeling-associated protein 4) (CD antigen CD93)
Q9HCU4	Q9HCU4	Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3)
Q86Y01	Q86Y01	E3 ubiquitin-protein ligase DTX1 (EC 2.3.2.27) (Protein deltex-1) (Deltex1) (hDTX1) (RING-type E3 ubiquitin transferase DTX1)
Q92988	Q92988	Homeobox protein DLX-4 (Beta protein 1) (Homeobox protein DLX-7) (Homeobox protein DLX-8)
Q8IZD9	Q8IZD9	Dedicator of cytokinesis protein 3 (Modifier of cell adhesion) (Presenilin-binding protein) (PBP)
Q9P1A6	Q9P1A6	Disks large-associated protein 2 (DAP-2) (PSD-95/SAP90-binding protein 2) (SAP90/PSD-95-associated protein 2) (SAPAP2)
O95886	O95886	Disks large-associated protein 3 (DAP-3) (PSD-95/SAP90-binding protein 3) (SAP90/PSD-95-associated protein 3) (SAPAP3)
P20810	P20810	Calpastatin (Calpain inhibitor) (Sperm BS-17 component)
Q9NZM4	Q9NZM4	BRD4-interacting chromatin-remodeling complex-associated protein (Glioma tumor suppressor candidate region gene 1 protein)
P15586	P15586	N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S)
O43909	O43909	Exostosin-like 3 (EC 2.4.1.223) (EXT-related protein 1) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Hereditary multiple exostoses gene isolog) (Multiple exostosis-like protein 3) (Putative tumor suppressor protein EXTL3)
Q9NRJ4	Q9NRJ4	Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4)
Q9UL51	Q9UL51	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 (Brain cyclic nucleotide-gated channel 2) (BCNG-2)
Q9NZV5	Q9NZV5	Selenoprotein N (SelN)
Q9BYB0	Q9BYB0	SH3 and multiple ankyrin repeat domains protein 3 (Shank3) (Proline-rich synapse-associated protein 2) (ProSAP2)
Q9BWW9	Q9BWW9	Apolipoprotein L5 (Apolipoprotein L-V) (ApoL-V)
Q05996	Q05996	Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2]
P20774	P20774	Mimecan (Osteoglycin) (Osteoinductive factor) (OIF)
